 ,Mean
1,14.705
2,13.272
3,13.29
4,13.469
5,14.544
6,12.39
7,51.398
8,42.789
9,37.287
10,32.919
11,33.458
12,39.484
13,100.407
14,50.447
15,67.086
16,53.553
17,71.228
18,82.408
19,85.221
20,53.749
21,33.379
22,54.884
23,35.771
24,50.447
25,45.817
26,64.333
27,47.462
28,31.46
29,30.069
30,39.153
31,38.593
32,44.54
33,39.455
34,41.304
35,31.636
36,12.075
37,11.949
38,25.31
39,14.066
40,14.041
41,14.918
42,13.395
43,13.486
44,26.324
45,19.311
46,40.122
47,59.112
48,42.994
49,33.68
50,5.516
51,104.648
52,13.71
